Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1935-01,294-66,,,,,38-20-Dewanoumi-K Ryogoku I,,,,,,,,9-0-Kasugano-Y Tochigiyama,,,,7-3-Izutsu-M2 Hoshikabuto,,,,,,,,,,,3-3-Takashima-M4 Hakkozan,,,,,,,,,,1-1-Wakamatsu-K Imizugawa,,,9-3-Tatsunami-K Midorishima,,,,,8-1-Asahiyama-OS Asahiyama,,,3-1-Futagoyama-M1 Toshuzan,3-3-Hanakago-S Misugiiso,,,,,7-3-Isegahama-S Kiyosegawa,,,,0-0-Kasugayama-S Fujinokawa I,,,,,,,,,,3-1-Michinoku-J1 Saigo,2-0-Mihogaseki-OS Takinoumi,3-2-Minatogawa-M1 Ayanishiki,,,2-0-Miyagino-Y Otori,,,2-1-Nakamura-OS Ashinoura,,7-3-Nishikijima-M1 Orochiyama,7-3-Nishonoseki-Y Tamanishiki,,,,,3-3-Jinmaku-OS Jinmaku,,,,,3-1-Sadogatake-M1 Akutsugawa,,,,8-4-Takasago-O Asashio II,,,,,2-1-Furiwake-S Naminooto,,,2-1-Tomozuna-K Yahazuyama,,5-1-Wakafuji-M3 Ageshio,2-1-Yamawake-S Otoiwa
1935-05,301-66,,,,,37-20,,,,,,,,10-1,,,,6-2,,,,,,,,,,,3-3,,,,,,,,,,1-0,,,12-3,,,,,9-1,,,3-1,3-2,,,,,8-3,,,,0-0,,,,,,,,,,3-1,2-0,3-2,,,2-0,,,2-1,,6-2,7-3,,,,,3-3,,,,,3-1,,,,8-3,,,,,2-2,,,2-1,,5-2,2-1
1936-01,311-70,,,,,36-20,,,,,,,,10-1,,,,6-2,,,,,,,,,,,3-3,,,,,,,,,,1-1,,,14-3,,,,,9-1,,,3-1,3-3,,,,,9-3,,,,0-0,,,,,,,,,,2-1,2-0,4-3,,,2-0,,,2-1,,6-3,11-3,,,,,3-3,,,,,2-1,,,,9-4,,,2-0-Takekuma-S Ryogoku II,,3-2,,,2-1,,5-1-M6 Koshinoumi,2-1
1936-05,336-70,,,,,35-17,,,,,,,,10-2,,,,6-1,,,,,,,,,,,3-3,,,,,,,,,,1-1,,,14-4,,,,,9-1,,,3-1,3-3,,,,,10-2,,,,1-0,,,,,,,,,,2-1-S Oshio,2-0,4-2,,,2-1,,,2-1,,8-2,10-4,,,,,3-3,,,,,2-1,,,,9-4,,,2-0,,3-2,,,2-2,,5-3,2-1
1937-01,364-70,,,,,38-18,,,,,,,,11-3,,,,6-2,,,,,,,,,,,3-3,,,,,,,,,,1-1,,,15-6,,,,,9-1,,,3-1,3-2,,,,,12-3,,,,1-0,,,,,,1-0-Kumagatani-M4 Shikishima,,,,2-1,2-0,4-3,,,2-0,,,2-1,,8-2,12-3,,,,,3-3,,,,,2-1,,,,11-4,,,2-0,,3-2,,,2-1,,5-2,2-1
1937-05,412-72,,,,,39-18,,,,,,,,11-3,,,,7-3,,,,,,,,,,,5-3,,,,,,,,,,1-1,,,16-6,,,,,7-1,,,3-1,3-2,,,,,12-3,,,,2-0,,,,,,1-0,,,,2-2,2-0,4-2,,,2-0,,,2-1,,9-1,14-3,,,,,3-3,,,,,2-1,,,,13-4,,,3-0,,3-2,,,2-1,,4-1,2-2
1938-01,460-77,,,,,42-21,,,,,,,,10-3,,,,7-4,,,,,,,,,,,5-3,,,,,,,,,,1-1,,,18-6,,,,,7-2,,,3-1,3-2,,,,,14-4,,,,2-0,,,,,,1-0,,,,2-1,2-0,4-2,,,3-0,,,2-1,,9-1,15-4,,0-0-Oitekaze-O Shimizugawa,,,3-3,,,,,2-1,,,,14-4,,,3-0,,3-2,,,2-1,,2-1,2-2
1938-05,509-76,,,,,45-23,,,,,,,,10-3,,,,7-3,,,,,,,,,,,5-2,,,,,,,,,,1-1,,,20-7,,,,,8-2,,,3-1,3-1,,,,,14-4,,,,2-0,,,,,,1-0,,,,2-2,2-0,5-2,,,3-0,,,2-1,,8-1,17-4,,0-0,,,4-3,,,,,2-1,,,,16-5,,,3-0,,3-2,,,1-0,,1-0,3-2
1939-01,557-75,,,,,44-23,,,,,,,,11-4,,,,8-4,,,,,,,,,,,4-1,,,,,,,,,,1-1,,,20-7,,,,,8-2,,,2-1,3-1,,,,,15-5,,,,2-0,,,,,,1-0,,,,2-2,3-0,5-2,,,3-0,,,2-1,,7-1,17-4-S Tamanoumi I,,0-0,,,4-3-Onogawa-OS Kakogawa,,,,,1-1,,,,18-3,,,3-0,,3-2,,,2-1,,1-0,3-2
1939-05,599-78,,,,,45-25,,,,,,,,11-3,,,,8-4,,,,,,,,,,,4-1,,,,,,,,,,1-1,,,19-6,,,,,8-3,,,1-0,3-1,,,,,16-4,,,,2-0,,,,,,1-0,,,,2-2,3-0,5-2,,,2-0,,,2-2,,7-1,16-3,,0-0,,,4-3,,,,,1-1,,,,18-2,,,3-0,,3-2,,,2-2,,1-1,3-2
